address,price,sqft,verdict,score,capture_%,recommendation
"15535 San Fernando Mission Blvd, San Fernando CA 91345",,23598.0,Strong Buy,88,39.5,Advance to LOI / broker diligence.
"28632 Roadside Dr, Agoura Hills CA 91301",,34459.0,Strong Buy,84,20.2,Advance to LOI / broker diligence.
"1175 Swallow Ln, Simi Valley CA 93065",,8120.0,Strong Buy,85,46.7,Advance to LOI / broker diligence.
"16133 Ventura Blvd, Encino CA 91436",,88890.0,Strong Buy,84,67.4,Advance to LOI / broker diligence.
"6345 Balboa Blvd, Encino CA 91316",,88890.0,Caution,52,10.2,Only if better candidates are exhausted; mitigate the listed risks first.
"31111 Agoura Rd, Westlake Village CA 91361",,2246.0,Viable,63,8.2,Pursue with a differentiation plan; confirm suite + lease terms.
"10630 Sepulveda Blvd, Mission Hills CA 91345",,1800.0,Strong Buy,88,38.8,Advance to LOI / broker diligence.
"19567 Oxnard St, Tarzana CA 91356",,4261.0,Viable,60,8.8,Pursue with a differentiation plan; confirm suite + lease terms.
"2885 Tapo St, Simi Valley CA 93063",,1370.0,Strong Buy,91,49.3,Advance to LOI / broker diligence.
"14901 Rinaldi St, Mission Hills CA 91345",,1200.0,Strong Buy,88,37.1,Advance to LOI / broker diligence.
"22119 Sherman Way, Canoga Park CA 91303",,1174.0,Strong Buy,79,28.3,Advance to LOI / broker diligence.
"7049 Owensmouth Ave, Canoga Park CA 91303",,1721.0,Strong Buy,79,29.0,Advance to LOI / broker diligence.
"28720 Roadside Dr, Agoura Hills CA 91301",,9066.0,Strong Buy,84,20.1,Advance to LOI / broker diligence.
"1145 Lindero Canyon Rd, Westlake Village CA 91362",,3040.0,Viable,70,11.6,Pursue with a differentiation plan; confirm suite + lease terms.
"20040-20060 Ventura Blvd, Woodland Hills CA 91364",,2400.0,Viable,71,12.2,Pursue with a differentiation plan; confirm suite + lease terms.
"5741 Las Virgenes Rd, Calabasas CA 91302",,1700.0,Strong Buy,85,19.0,Advance to LOI / broker diligence.
