address,price,sqft,verdict,score,capture_%,recommendation
"15535 San Fernando Mission Blvd, San Fernando CA 91345",,23598.0,Strong Buy,88,40.4,Advance to LOI / broker diligence.
"28632 Roadside Dr, Agoura Hills CA 91301",,34459.0,Strong Buy,77,14.0,Advance to LOI / broker diligence.
"1175 Swallow Ln, Simi Valley CA 93065",,8120.0,Strong Buy,85,45.7,Advance to LOI / broker diligence.
"16133 Ventura Blvd, Encino CA 91436",,88890.0,Strong Buy,84,68.2,Advance to LOI / broker diligence.
"6345 Balboa Blvd, Encino CA 91316",,88890.0,Caution,51,9.8,Only if better candidates are exhausted; mitigate the listed risks first.
"31111 Agoura Rd, Westlake Village CA 91361",,2246.0,Viable,60,7.1,Pursue with a differentiation plan; confirm suite + lease terms.
"10630 Sepulveda Blvd, Mission Hills CA 91345",,1800.0,Strong Buy,88,39.5,Advance to LOI / broker diligence.
"19567 Oxnard St, Tarzana CA 91356",,4261.0,Caution,48,6.8,Only if better candidates are exhausted; mitigate the listed risks first.
"2885 Tapo St, Simi Valley CA 93063",,1370.0,Strong Buy,91,48.3,Advance to LOI / broker diligence.
"14901 Rinaldi St, Mission Hills CA 91345",,1200.0,Strong Buy,88,37.9,Advance to LOI / broker diligence.
"22119 Sherman Way, Canoga Park CA 91303",,1174.0,Strong Buy,79,32.8,Advance to LOI / broker diligence.
"7049 Owensmouth Ave, Canoga Park CA 91303",,1721.0,Strong Buy,79,33.3,Advance to LOI / broker diligence.
"28720 Roadside Dr, Agoura Hills CA 91301",,9066.0,Strong Buy,77,13.8,Advance to LOI / broker diligence.
"1145 Lindero Canyon Rd, Westlake Village CA 91362",,3040.0,Viable,69,11.0,Pursue with a differentiation plan; confirm suite + lease terms.
"20040-20060 Ventura Blvd, Woodland Hills CA 91364",,2400.0,Strong Buy,72,12.8,Advance to LOI / broker diligence.
"5741 Las Virgenes Rd, Calabasas CA 91302",,1700.0,Strong Buy,91,17.2,Advance to LOI / broker diligence.
"403-405 N MacLay Ave, San Fernando CA 91340",,1234.0,Strong Buy,84,61.3,Advance to LOI / broker diligence.
"18032 Ventura Blvd, Encino CA 91316",,980.0,Strong Buy,74,43.9,Advance to LOI / broker diligence.
"2220 Lynn Rd, Thousand Oaks CA 91360",,900.0,Viable,63,9.7,Pursue with a differentiation plan; confirm suite + lease terms.
"20301 Ventura Blvd, Woodland Hills CA 91364",,2208.0,Strong Buy,75,14.6,Advance to LOI / broker diligence.
"1839-1883 Erringer Rd, Simi Valley CA 93065",,1102.0,Strong Buy,85,64.9,Advance to LOI / broker diligence.
