geocoded 128 listings of 130 records
1/128  Strong Buy    88  15535 San Fernando Mission Blvd, San Fernando CA 91345
2/128  Strong Buy    84  28632 Roadside Dr, Agoura Hills CA 91301
3/128  Strong Buy    85  1175 Swallow Ln, Simi Valley CA 93065
4/128  Strong Buy    84  16133 Ventura Blvd, Encino CA 91436
5/128  Caution       52  6345 Balboa Blvd, Encino CA 91316
6/128  Viable        63  31111 Agoura Rd, Westlake Village CA 91361
7/128  Strong Buy    88  10630 Sepulveda Blvd, Mission Hills CA 91345
8/128  Viable        60  19567 Oxnard St, Tarzana CA 91356
9/128  Strong Buy    91  2885 Tapo St, Simi Valley CA 93063
10/128  Strong Buy    88  14901 Rinaldi St, Mission Hills CA 91345
11/128  Strong Buy    79  22119 Sherman Way, Canoga Park CA 91303
12/128  Strong Buy    79  7049 Owensmouth Ave, Canoga Park CA 91303
13/128  Strong Buy    84  28720 Roadside Dr, Agoura Hills CA 91301
14/128  Viable        70  1145 Lindero Canyon Rd, Westlake Village CA 91362
15/128  Viable        71  20040-20060 Ventura Blvd, Woodland Hills CA 91364
16/128  Strong Buy    85  5741 Las Virgenes Rd, Calabasas CA 91302
17/128  Strong Buy    84  403-405 N MacLay Ave, San Fernando CA 91340
18/128  Strong Buy    74  18032 Ventura Blvd, Encino CA 91316
19/128  Strong Buy    79  2220 Lynn Rd, Thousand Oaks CA 91360
20/128  Strong Buy    74  20301 Ventura Blvd, Woodland Hills CA 91364
21/128  Strong Buy    85  1839-1883 Erringer Rd, Simi Valley CA 93065
22/128  Strong Buy    90  2412 N Ponderosa Dr, Camarillo CA 93010
23/128  Strong Buy    83  19331 Business Center Dr, Northridge CA 91324
24/128  Strong Buy    90  4542 Las Posas Rd, Camarillo CA 93010
25/128  Strong Buy    83  18515-18549 Roscoe Blvd, Northridge CA 91324
26/128  Strong Buy    85  585-605 E Los Angeles Ave, Simi Valley CA 93065
27/128  Strong Buy    78  5932 Lubao Ave, Woodland Hills CA 91367
28/128  Viable        68  223 E Thousand Oaks Blvd, Thousand Oaks CA 91360
29/128  Strong Buy    89  301 Science Dr, Moorpark CA 93021
30/128  Viable        69  558 St. Charles Dr, Thousand Oaks CA 91360
31/128  Strong Buy    85  2045 Royal Ave, Simi Valley CA 93065
32/128  Strong Buy    74  18345 Ventura Blvd, Tarzana CA 91356
33/128  Strong Buy    84  16260 Ventura Blvd, Encino CA 91436
34/128  Strong Buy    72  18540 Sherman Way, Reseda CA 91335
35/128  Strong Buy    74  6742 Winnetka Ave, Winnetka CA 91306
36/128  Strong Buy    85  2796 Sycamore Dr, Simi Valley CA 93065
37/128  Strong Buy    83  311 Haigh Rd, Thousand Oaks CA 91320
38/128  Viable        66  501 Marin St, Thousand Oaks CA 91360
39/128  Strong Buy    78  18607 Ventura Blvd, Tarzana CA 91356
40/128  Strong Buy    79  22030 Sherman Way, Canoga Park CA 91303
41/128  Viable        66  5353-5363 Balboa Blvd, Encino CA 91316
42/128  Strong Buy    89  11200 Corbin Ave, Northridge CA 91326
43/128  Strong Buy    83  9029 Reseda Blvd, Northridge CA 91324
44/128  Strong Buy    72  16430-16438 Vanowen St, Van Nuys CA 91406
45/128  Viable        67  555 Marin St, Thousand Oaks CA 91360
46/128  Strong Buy    75  2625 Townsgate Rd, Westlake Village CA 91361
47/128  Strong Buy    74  18411 Clark St, Tarzana CA 91356
48/128  Strong Buy    84  16250 Ventura Blvd, Encino CA 91436
49/128  Strong Buy    89  850 Patriot Dr, Moorpark CA 93021
50/128  Strong Buy    85  1687 Erringer Rd, Simi Valley CA 93065
51/128  Viable        69  18226 Ventura Blvd, Tarzana CA 91356
52/128  Strong Buy    87  14124 Foothill Blvd, Sylmar CA 91342
53/128  Strong Buy    81  23111 Ventura Blvd, Woodland Hills CA 91364
54/128  Strong Buy    83  8345 Reseda Blvd, Northridge CA 91324
55/128  Strong Buy    74  18425 Burbank Blvd, Tarzana CA 91356
56/128  Strong Buy    91  5775 E Los Angeles Ave, Simi Valley CA 93063
57/128  Strong Buy    78  2955 N Moorpark Rd, Thousand Oaks CA 91360
58/128  Strong Buy    83  29575 Canwood St, Agoura Hills CA 91301
59/128  Strong Buy    76  3637-3755 E Thousand Oaks Blvd, Thousand Oaks CA 91362
60/128  Strong Buy    73  18356-18388 Clark St, Tarzana CA 91356
61/128  Strong Buy    72  18437 Saticoy St, Reseda CA 91335
62/128  Strong Buy    85  10515 Balboa Blvd, Granada Hills CA 91344
63/128  Strong Buy    77  2125 E Thousand Oaks Blvd, Thousand Oaks CA 91362
64/128  Strong Buy    86  23928 Lyons Ave, Santa Clarita CA 91321
65/128  Strong Buy    85  10230-10234 Canoga Ave, Chatsworth CA 91311
66/128  Strong Buy    83  9535 Reseda Blvd, Northridge CA 91324
67/128  Strong Buy    83  3175 Old Conejo Rd, Thousand Oaks CA 91320
68/128  Strong Buy    72  18511 Sherman Way, Reseda CA 91335
69/128  Strong Buy    81  22062 Ventura Blvd, Woodland Hills CA 91364
70/128  Strong Buy    84  29219 Canwood St, Agoura Hills CA 91301
71/128  Viable        69  351 Rolling Oaks Dr, Thousand Oaks CA 91361
72/128  Strong Buy    73  18321 Ventura Blvd, Tarzana CA 91356
73/128  Strong Buy    85  1720 E Los Angeles Ave, Simi Valley CA 93065
74/128  Viable        62  19500-19510 Ventura Blvd, Tarzana CA 91356
75/128  Strong Buy    79  22110 Roscoe Blvd, Canoga Park CA 91304
76/128  Strong Buy    74  18433 Roscoe Blvd, Northridge CA 91325
77/128  Strong Buy    72  19231 Victory Blvd, Reseda CA 91335
78/128  Strong Buy    81  5348 Topanga Canyon Blvd, Woodland Hills CA 91364
79/128  Strong Buy    75  2660 Townsgate Rd, Westlake Village CA 91361
80/128  Viable        67  19730 Ventura Blvd, Woodland Hills CA 91364
81/128  Strong Buy    78  6024 Fallbrook Ave, Woodland Hills CA 91367
82/128  Strong Buy    72  16380 Roscoe Blvd, Van Nuys CA 91406
83/128  Strong Buy    84  16542 Ventura Blvd, Encino CA 91436
84/128  Viable        64  317-325 S Moorpark Rd, Thousand Oaks CA 91361
85/128  Strong Buy    84  16200 Ventura Blvd, Encino CA 91436
86/128  Strong Buy    83  9335 Reseda Blvd, Northridge CA 91324
87/128  Viable        70  101 Hodencamp Rd, Thousand Oaks CA 91360
88/128  Strong Buy    72  18625 Sherman Way, Reseda CA 91335
89/128  Strong Buy    72  17742-17750 Sherman Way, Reseda CA 91335
90/128  Strong Buy    78  18801 Ventura Blvd, Tarzana CA 91356
91/128  Strong Buy    84  28030 Dorothy Dr, Agoura Hills CA 91301
92/128  Strong Buy    83  8949 Reseda Blvd, Northridge CA 91324
93/128  Viable        70  32144 Agoura Rd, Westlake Village CA 91361
94/128  Strong Buy    74  18250 Roscoe Blvd, Northridge CA 91325
95/128  Strong Buy    82  2051 Solar Dr, Oxnard CA 93036
96/128  Strong Buy    78  18840-18850 Ventura Blvd, Tarzana CA 91356
97/128  Viable        69  375 Rolling Oaks Dr, Thousand Oaks CA 91361
98/128  Strong Buy    85  2755 Alamo St, Simi Valley CA 93065
99/128  Strong Buy    84  28040 Dorothy Dr, Agoura Hills CA 91301
100/128  Strong Buy    84  5115 Clareton Dr, Agoura Hills CA 91301
101/128  Strong Buy    85  23622 Calabasas Rd, Calabasas CA 91302
102/128  Strong Buy    88  11550 Indian Hills Rd, Mission Hills CA 91345
103/128  Strong Buy    74  17835 Ventura Blvd, Encino CA 91316
104/128  Strong Buy    90  3901 Las Posas Rd, Camarillo CA 93010
105/128  Strong Buy    85  4766 Park Granada, Calabasas CA 91302
106/128  Strong Buy    74  18370 Burbank Blvd, Tarzana CA 91356
107/128  Strong Buy    72  7620 Lindley Ave, Reseda CA 91335
108/128  Strong Buy    78  23388 Mulholland Dr, Woodland Hills CA 91364
109/128  Strong Buy    74  17609 Ventura Blvd, Encino CA 91316
110/128  Strong Buy    88  22950 Vanowen St, West Hills CA 91307
111/128  Strong Buy    84  16633 Ventura Blvd, Encino CA 91436
112/128  Strong Buy    78  5620 Wilbur Ave, Tarzana CA 91356
113/128  Strong Buy    88  11600 Indian Hills Rd, Mission Hills CA 91345
114/128  Strong Buy    85  2650 Jones Way, Simi Valley CA 93065
115/128  Strong Buy    83  29525 Canwood St, Agoura Hills CA 91301
116/128  Strong Buy    85  2950 Sycamore Dr, Simi Valley CA 93065
117/128  Strong Buy    88  23101 Sherman Pl, Canoga Park CA 91307
118/128  Strong Buy    74  18350 Roscoe Blvd, Northridge CA 91325
119/128  Strong Buy    72  19234 Vanowen St, Reseda CA 91335
120/128  Strong Buy    86  24355 Lyons Ave, Santa Clarita CA 91321
121/128  Strong Buy    76  696 Hampshire Rd, Westlake Village CA 91361
122/128  Strong Buy    75  3180 Willow Ln, Thousand Oaks CA 91361
123/128  Viable        66  5400 Balboa Blvd, Encino CA 91316
124/128  Strong Buy    88  7320 Woodlake Ave, West Hills CA 91307
125/128  Viable        70  5525 Etiwanda Ave, Tarzana CA 91356
126/128  Strong Buy    83  Corner of Nordhoff St. 91325 & Reseda Blvd 91324, Northridge CA 91324
127/128  Strong Buy    85  2888 Cochran St, Simi Valley CA 93065
128/128  Strong Buy    76  725 Lakefield Rd, Westlake Village CA 91361
DONE 128 listings in 6596s -> C:\Users\muham\OneDrive\Desktop\Claude\Website Facial Pain\ClinicSiteIntel\loopnet_shortlist_128_v2.csv
